ECID,dut,Speedo,Temp,Vmin,valid,Chip,Model,Pipe,Guess,Error
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,105,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8266241701448493,0.013375829855150623
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,105,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.8264910865885688,-0.006491086588568895
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,70,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.8170919969718808,0.01290800302811912
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,70,0.81,good,GB100,QuadraticVMin,Only: valid = good,0.8170328163301898,-0.007032816330189706
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,35,0.81,good,GB100,QuadraticVMin,Only: valid = good,0.8097181385273782,0.00028186147262188044
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,35,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8101262742428637,-0.010126274242863609
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,0,0.81,good,GB100,QuadraticVMin,Only: valid = good,0.80450259481134,0.005497405188660043
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,0,0.79,good,GB100,QuadraticVMin,Only: valid = good,0.8057714603265902,-0.01577146032659016
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,105,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.8564618680106277,-0.026461868010627776
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,105,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.863937145722665,-0.03393714572266504
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,70,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.8421044231659143,-0.022104423165914322
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,70,0.81,good,GB100,QuadraticVMin,Only: valid = good,0.8497329656808765,-0.039732965680876475
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,35,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8300066032129783,-0.03000660321297821
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,35,0.79,good,GB100,QuadraticVMin,Only: valid = good,0.8374573911611805,-0.04745739116118042
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,0,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8201684081518184,-0.020168408151818307
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,0,0.79,good,GB100,QuadraticVMin,Only: valid = good,0.8271104221635794,-0.037110422163579404
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,105,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.8297438850750996,-0.009743885075099601
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,105,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.8321349471288363,-0.012134947128836338
