ECID,dut,Speedo,Temp,Vmin,valid,Chip,Model,Pipe,Guess,Error
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,105,0.9,good,GB100,QuadraticVMin,Only: valid = good,0.8747727624942847,0.025227237505715316
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,105,0.87,good,GB100,QuadraticVMin,Only: valid = good,0.8744804981091836,-0.004480498109183606
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,70,0.88,good,GB100,QuadraticVMin,Only: valid = good,0.8644356386006278,0.015564361399372229
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,70,0.86,good,GB100,QuadraticVMin,Only: valid = good,0.8639572147656325,-0.0039572147656324885
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,35,0.85,good,GB100,QuadraticVMin,Only: valid = good,0.8517718992459562,-0.001771899245956221
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,35,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.8515409246468599,-0.02154092464685997
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,0,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8367815444302686,0.0032184555697313266
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,0,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.8372316277528664,-0.017231627752866463
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,105,0.9,good,GB100,QuadraticVMin,Only: valid = good,0.9140021202931927,-0.014002120293192699
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,105,0.88,good,GB100,QuadraticVMin,Only: valid = good,0.9262655337968422,-0.04626553379684217
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,70,0.88,good,GB100,QuadraticVMin,Only: valid = good,0.9003633495309149,-0.020363349530914898
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,70,0.87,good,GB100,QuadraticVMin,Only: valid = good,0.9115441472819201,-0.04154414728192013
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,35,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8842338519246793,-0.044233851924679324
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,35,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.8945692556806026,-0.06456925568060268
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,0,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8656136274744872,-0.025613627474487255
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,0,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.8753408589928862,-0.0453408589928862
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,105,0.87,good,GB100,QuadraticVMin,Only: valid = good,0.8792566844697582,-0.009256684469758247
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,105,0.87,good,GB100,QuadraticVMin,Only: valid = good,0.8824888036511134,-0.012488803651113378
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,70,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8684372813271373,-0.028437281327137298
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,70,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8715156092942893,-0.031515609294289315
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,35,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8549645443652036,-0.01496454436520367
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,35,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.857925059545917,-0.027925059545917064
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,0,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8388384735839587,0.0011615264160412808
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,0,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.8417171544059965,-0.011717154405996522
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,105,0.9,good,GB100,QuadraticVMin,Only: valid = good,0.9095289050693594,-0.009528905069359328
TSMC-U8C609-03_x2_y5,vrl-cs-bg-102,2015,105,0.89,good,GB100,QuadraticVMin,Only: valid = good,0.9223793189082334,-0.03237931890823342
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,70,0.9,good,GB100,QuadraticVMin,Only: valid = good,0.8935278308983832,0.006472169101616854
TSMC-U8C609-03_x2_y5,vrl-cs-bg-102,2015,70,0.88,good,GB100,QuadraticVMin,Only: valid = good,0.9053038297496525,-0.025303829749652507
TSMC-U8C609-03_x4_y4,vrl-cs-bg-137,2033,35,0.89,good,GB100,QuadraticVMin,Only: valid = good,0.875624901127608,0.014375098872391967
TSMC-U8C609-03_x2_y5,vrl-cs-bg-137,2015,35,0.88,good,GB100,QuadraticVMin,Only: valid = good,0.886337511025018,-0.0063375110250180056
TSMC-U8C609-03_x4_y4,vrl-cs-bg-137,2033,0,0.89,good,GB100,QuadraticVMin,Only: valid = good,0.8558201157570324,0.034179884242967584
TSMC-U8C609-03_x2_y5,vrl-cs-bg-137,2015,0,0.87,good,GB100,QuadraticVMin,Only: valid = good,0.865480362734329,0.0045196372656709505
TSMC-U8C607-10_x4_y1,vrl-cs-bg-72,2076,70,0.92,good,GB100,QuadraticVMin,Only: valid = good,0.8748721178993342,0.04512788210066587
