ECID,dut,Speedo,Temp,Vmin,valid,Chip,Model,Pipe,Guess,Error
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,105,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6482873088634554,0.0017126911365445974
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,105,0.64,good,GB100,QuadraticVMin,Only: valid = good,0.6474792605136627,-0.0074792605136626555
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,70,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6549742416069988,-0.004974241606998775
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,70,0.64,good,GB100,QuadraticVMin,Only: valid = good,0.6548978754413706,-0.014897875441370556
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,35,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6646119378993376,-0.004611937899337559
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,35,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.665057377369478,-0.015057377369477987
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,0,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.677200397740472,-0.0072003977404719866
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,0,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6779577662979849,-0.007957766297984836
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,105,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.66617934512319,-0.01617934512318997
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,105,0.64,good,GB100,QuadraticVMin,Only: valid = good,0.6715389749435581,-0.03153897494355806
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,70,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6666494844177684,-0.016649484417768368
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,70,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6710425634090249,-0.021042563409024884
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,35,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6703591717612647,-0.0003591717612646539
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,35,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6740338348313675,-0.014033834831367442
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,0,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6773084071536785,-0.00730840715367842
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,0,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6805127892105858,-0.020512789210585747
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,105,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6487667409092666,0.0012332590907334628
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,105,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6473136115233524,0.012686388476647603
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,70,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6552632536723471,-0.005263253672347035
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,70,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6526098553806501,0.027390144619349965
