ECID,dut,Speedo,Temp,Vmin,valid,Chip,Model,Pipe,Guess,Error
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,105,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6689336404546915,0.0010663595453085373
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,105,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6684388939223718,-0.008438893922371737
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,70,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6757148418097718,-0.005714841809771776
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,70,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6752683854016572,-0.015268385401657203
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6830223589385982,-0.0030223589385981464
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,35,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6826243278744109,-0.012624327874410812
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,0,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6908561918411706,-0.0008561918411706948
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,0,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6905067213406326,-0.010506721340632574
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,105,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6764305309062602,-0.006430530906260112
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,105,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6810660541414246,-0.031066054141424604
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,70,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6824527077228764,-0.012452707722876322
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,70,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6864849349842985,-0.02648493498429849
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,35,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6892644282383649,0.0007355717616350788
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6932195760218165,-0.013219576021816448
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,0,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6968656924527239,-0.006865692452723948
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,0,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.7012699772539763,-0.03126997725397629
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,105,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6700734197794498,-0.010073419779449755
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,105,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6711423310132218,-0.011142331013221818
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,70,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6763244122910894,-0.006324412291089376
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,70,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6773626283112666,-0.00736262831126655
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6836276925049818,-0.003627692504981739
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6846356300742178,-0.004635630074217745
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,0,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6919832604211305,-0.011983260421130404
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,0,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6929613363020728,-0.012961336302072746
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,105,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.673635865415096,0.016364134584903933
TSMC-U8C609-03_x2_y5,vrl-cs-bg-102,2015,105,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6747979172905345,0.005202082709465539
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,70,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6801464605965797,0.009853539403420264
TSMC-U8C609-03_x2_y5,vrl-cs-bg-102,2015,70,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6813364314595565,-0.0013364314595564197
TSMC-U8C609-03_x4_y4,vrl-cs-bg-137,2033,35,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.6874465295174375,0.012553470482562501
TSMC-U8C609-03_x2_y5,vrl-cs-bg-137,2015,35,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6886644192686484,0.0013355807313515378
TSMC-U8C609-03_x4_y4,vrl-cs-bg-137,2033,0,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.6955360721776667,0.004463927822333291
TSMC-U8C609-03_x2_y5,vrl-cs-bg-137,2015,0,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6967818807178072,-0.006781880717807276
TSMC-U8C607-10_x4_y1,vrl-cs-bg-72,2076,105,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6720091124613523,0.00799088753864774
TSMC-U8C607-08_x1_y5,vrl-cs-bg-72,2117,105,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6687553857111226,-0.018755385711122563
TSMC-U8C607-10_x4_y1,vrl-cs-bg-72,2076,70,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6775459041433587,0.012454095856641256
TSMC-U8C607-08_x1_y5,vrl-cs-bg-72,2117,70,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6749772229409725,-0.014977222940972479
TSMC-U8C607-10_x4_y1,vrl-cs-bg-128,2076,35,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.6843985356684179,0.03560146433158207
TSMC-U8C607-08_x1_y5,vrl-cs-bg-128,2117,35,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6811992448318289,0.008800755168171026
TSMC-U8C607-10_x4_y1,vrl-cs-bg-128,2076,0,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.6925670070365273,0.01743299296347267
TSMC-U8C607-08_x1_y5,vrl-cs-bg-128,2117,0,0.73,good,GB100,QuadraticVMin,Only: valid = good,0.6874214513836909,0.04257854861630905
TSMC-U8C586-07_x6_y1,vrl-cs-sc-257,2029,105,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6735353565912394,0.016464643408760526
TSMC-U8C586-07_x3_y2,vrl-cs-sc-257,2034,105,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6745743515884919,0.005425648411508166
TSMC-U8C586-07_x6_y1,vrl-cs-sc-257,2029,70,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6804310677875338,0.00956893221246613
TSMC-U8C586-07_x3_y2,vrl-cs-sc-257,2034,70,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6808663904993097,0.009133609500690199
TSMC-U8C586-07_x6_y1,vrl-cs-sc-257,2029,35,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6878531526209164,0.0021468473790835496
TSMC-U8C586-07_x3_y2,vrl-cs-sc-257,2034,35,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6879479555921177,0.002052044407882203
TSMC-U8C586-07_x6_y1,vrl-cs-sc-257,2029,0,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.6958016110913863,0.004198388908613682
TSMC-U8C586-07_x3_y2,vrl-cs-sc-257,2034,0,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.695819046866915,0.004180953133084975
TSMC-U8C586-07_x4_y3,vrl-cs-bg-102,2045,105,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6736463116813032,0.01635368831869677
TSMC-U8C586-07_x3_y6,vrl-cs-bg-102,2049,105,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6751470209048969,-0.005147020904896826
TSMC-U8C586-07_x4_y3,vrl-cs-bg-102,2045,70,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6801529524766758,0.009847047523324104
TSMC-U8C586-07_x3_y6,vrl-cs-bg-102,2049,70,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6811335988742528,-0.0011335988742527947
TSMC-U8C586-07_x4_y3,vrl-cs-bg-137,2045,35,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.6874489615343657,0.012551038465634212
TSMC-U8C586-07_x3_y6,vrl-cs-bg-137,2049,35,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6881729553256335,0.0018270446743664515
TSMC-U8C586-07_x4_y3,vrl-cs-bg-137,2045,0,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.6955343388543738,0.0044656611456261874
TSMC-U8C586-07_x3_y6,vrl-cs-bg-137,2049,0,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6962650902590379,-0.0062650902590379864
TSMC-U8C590-06_x4_y5,vrl-cs-sc-106,2167,105,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.657433176234564,0.012566823765436053
TSMC-U8C590-06_x3_y4,vrl-cs-sc-106,2154,105,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6608169757885616,0.009183024211438462
TSMC-U8C590-06_x4_y5,vrl-cs-sc-106,2167,70,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6650540398222686,-0.005054039822268597
TSMC-U8C590-06_x3_y4,vrl-cs-sc-106,2154,70,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6683122406829733,-0.008312240682973315
TSMC-U8C590-06_x4_y5,vrl-cs-sc-106,2167,35,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6729377828545839,-0.0029377828545839035
TSMC-U8C590-06_x3_y4,vrl-cs-sc-106,2154,35,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6760707103805852,-0.006070710380585154
TSMC-U8C590-06_x4_y5,vrl-cs-sc-106,2167,0,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.681084405331509,-0.0010844053315089974
TSMC-U8C590-06_x3_y4,vrl-cs-sc-106,2154,0,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6840923848813976,-0.004092384881397515
TSMC-U8C589-23_x2_y5,vrl-cs-bg-106,2176,105,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6561420198879433,0.003857980112056736
TSMC-U8C589-25_x3_y4,vrl-cs-bg-106,2205,105,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.646754057003796,0.013245942996204074
TSMC-U8C589-23_x2_y5,vrl-cs-bg-106,2176,70,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6619392349172646,-0.011939234917264563
TSMC-U8C589-25_x3_y4,vrl-cs-bg-106,2205,70,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6548715282162001,-0.004871528216200072
TSMC-U8C589-23_x2_y5,vrl-cs-bg-122,2176,35,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.6693153476387552,0.040684652361244744
TSMC-U8C589-25_x3_y4,vrl-cs-bg-122,2205,35,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6632521620912417,-0.0032521620912416838
TSMC-U8C589-23_x2_y5,vrl-cs-bg-122,2176,0,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.678270358052417,-0.008270358052416937
TSMC-U8C589-25_x3_y4,vrl-cs-bg-122,2205,0,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6718959586289213,-0.0018959586289212238
TSMC-U8C586-08_x8_y4,vrl-cs-sc-54,2212,105,0.64,good,GB100,QuadraticVMin,Only: valid = good,0.647948899204358,-0.00794889920435804
