ECID,dut,Speedo,Temp,Vmin,valid,Chip,Model,Pipe,Guess,Error
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,105,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7023869036580161,-0.002386903658016193
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,105,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7005977335358866,-0.0005977335358866576
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,70,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7047979916652753,-0.004797991665275392
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,70,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.703912241022457,-0.003912241022457019
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,35,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7095895616470382,0.00041043835296172837
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,35,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7093407073584781,-0.00934070735847814
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,0,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7167616136033055,-0.006761613603305516
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,0,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.71688313254395,-0.00688313254395001
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,105,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7224541567074609,-0.02245415670746098
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,105,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7280066390434414,-0.028006639043441472
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,70,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7199782969653918,-0.009978296965391875
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,70,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7251975874664898,-0.025197587466489813
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,35,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7201628059592498,-0.010162805959249788
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,35,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7250143023623838,-0.01501430236238388
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,0,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.723007683689036,-0.013007683689036043
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,0,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7274567837311228,-0.027456783731122814
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,105,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7022217149239411,-0.002221714923941187
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,105,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7038732704117547,-0.003873270411754781
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,70,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7043956870179702,0.005604312982029791
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,70,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7058563233314676,-0.005856323331467683
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,35,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.709197934146411,0.0008020658535889957
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,35,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7102272363318338,-0.00022723633183385772
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,0,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7166284563092655,-0.006628456309265562
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,0,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7169860094128528,-0.006986009412852878
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,105,0.73,good,GB100,QuadraticVMin,Only: valid = good,0.71653039407255,0.013469605927449946
TSMC-U8C609-03_x2_y5,vrl-cs-bg-102,2015,105,0.73,good,GB100,QuadraticVMin,Only: valid = good,0.7205852207698195,0.009414779230180526
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,70,0.73,good,GB100,QuadraticVMin,Only: valid = good,0.7151849757952649,0.014815024204735128
