ECID,dut,Speedo,Temp,Vmin,valid,Chip,Model,Pipe,Guess,Error
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,105,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7102449532056467,-0.010244953205646778
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,105,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7079395990966102,-0.00793959909661024
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,70,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7115956897620714,-0.011595689762071482
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,70,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7097493223304752,-0.009749322330475207
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,35,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7154629677307862,-0.00546296773078625
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,35,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7138024331673356,-0.013802433167335648
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,0,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7218467871117906,-0.011846787111790658
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,0,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7200989316071906,-0.010098931607190664
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,105,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7242732609762967,-0.014273260976296775
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,105,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7295384090218389,-0.029538409021838907
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,70,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7246740505841738,-0.014674050584173814
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,70,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7298193087349297,-0.029819308734929773
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,35,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.7275430011782389,-0.007543001178238917
