ECID,dut,Speedo,Temp,Vmin,valid,Chip,Model,Pipe,Guess,Error
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,105,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.806204884216928,0.01379511578307191
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,105,0.81,good,GB100,QuadraticVMin,Only: valid = good,0.8035461254361287,0.006453874563871365
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,70,0.81,good,GB100,QuadraticVMin,Only: valid = good,0.8044457500875661,0.005554249912433917
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,70,0.81,good,GB100,QuadraticVMin,Only: valid = good,0.801493417700299,0.008506582299701027
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,35,0.81,good,GB100,QuadraticVMin,Only: valid = good,0.8029646564100674,0.00703534358993263
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,35,0.81,good,GB100,QuadraticVMin,Only: valid = good,0.8000018251572498,0.00999817484275023
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,0,0.81,good,GB100,QuadraticVMin,Only: valid = good,0.8017616031844326,0.008238396815567484
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,0,0.81,good,GB100,QuadraticVMin,Only: valid = good,0.7990713478069811,0.010928652193018973
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,105,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.8299418260078542,-0.009941826007854204
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,105,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.837846121677974,-0.037846121677973965
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,70,0.81,good,GB100,QuadraticVMin,Only: valid = good,0.8272673530882697,-0.017267353088269655
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,70,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8337571893014284,-0.03375718930142835
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,35,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8249329459905538,-0.024932945990553734
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,35,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8302830257402233,-0.030283025740223235
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,0,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8229386047147059,-0.02293860471470588
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,0,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8274236309943591,-0.02742363099435907
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,105,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8089905998552438,-0.008990599855243753
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,105,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8117244906927406,-0.011724490692740508
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,70,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8065972513358419,-0.0065972513358418805
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,70,0.79,good,GB100,QuadraticVMin,Only: valid = good,0.8092628443283347,-0.019262844328334694
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,35,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8048669039175933,-0.004866903917593257
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,35,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8075065713791214,-0.007506571379121363
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,0,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8037995576004975,-0.0037995576004974385
