ECID,dut,Speedo,Temp,Vmin,valid,Chip,Model,Pipe,Guess,Error
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,105,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8311722216444475,0.008827778355552485
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,105,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.8298323002916856,-0.009832300291685692
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,70,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8301195611009241,0.00988043889907586
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,70,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.8287250130385854,-0.008725013038585416
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,35,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.8272961049087264,0.002703895091273556
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,35,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.8259562053732845,-0.005956205373284562
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,0,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.822701853067854,0.007298146932145921
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,0,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.8215258772957816,-0.0015258772957816857
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,105,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8634332659578728,-0.023433265957872873
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,105,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.8729645185174753,-0.04296451851747529
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,70,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8594312443471099,-0.019431244347109966
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,70,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.8689270982080768,-0.048927098208076836
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,35,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.8537419615024582,-0.02374196150245822
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,35,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.8631482111917499,-0.04314821119174994
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,0,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.8463654174239168,-0.01636541742391684
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,0,0.81,good,GB100,QuadraticVMin,Only: valid = good,0.8556278574684959,-0.04562785746849585
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,105,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8319034197426213,0.008096580257378694
