ECID,dut,Speedo,Temp,Vmin,valid,Chip,Model,Pipe,Guess,Error
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,105,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.669322008812931,0.0006779911870690158
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,105,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6688067103344961,-0.008806710334496093
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,70,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6731834309053715,-0.0031834309053714316
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,70,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6725589541753743,-0.012558954175374226
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6771308582722011,0.0028691417277989517
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,35,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6764599545031831,-0.006459954503183041
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,0,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6811642909134195,0.00883570908658049
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,0,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6805097113179257,-0.000509711317925654
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,105,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.682514123714745,-0.012514123714744918
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,105,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.687425411946723,-0.02742541194672299
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,70,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6862152595328415,-0.01621525953284142
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,70,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6911666636873249,-0.031166663687324903
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6902890216803734,-0.010289021680373378
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,35,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6952518259461675,-0.025251825946167483
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,0,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6947354101573415,-0.014735410157341478
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,0,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6996808987232509,-0.02968089872325086
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,105,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6694473596636326,0.0005526403363674826
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,105,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6719251932464045,-0.011925193246404509
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,70,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.673000180363905,0.006999819636095084
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,70,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6751579833747852,-0.0051579833747851245
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6771635984921245,0.0028364015078755633
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6790679483386239,0.0009320516613761098
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,0,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6819376140482913,-0.0019376140482912918
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,0,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6836550881379226,-0.003655088137922591
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,105,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6788433499415472,0.011156650058452788
TSMC-U8C609-03_x2_y5,vrl-cs-bg-102,2015,105,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.6775292641991641,0.022470735800835806
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,70,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6826076418623124,0.007392358137687571
