ECID,dut,Speedo,Temp,Vmin,valid,Chip,Model,Pipe,Guess,Error
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,105,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7444167020179677,0.005583297982032276
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,105,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.7424024853786739,-0.0024024853786739353
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,70,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7446823874117723,0.005317612588227716
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,70,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7422737868783131,0.007726213121686865
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,35,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.745879184827732,0.004120815172268033
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,35,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7433626028599674,0.0066373971400326415
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,0,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.748007094265847,0.0019929057341530054
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,0,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7456689333236366,0.004331066676363404
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,105,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7640625892365074,-0.014062589236507383
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,105,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.7694832358065358,-0.02948323580653578
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,70,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.7638422708841256,-0.023842270884125605
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,70,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.7689006645321816,-0.028900664532181652
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,35,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7643361613907428,-0.014336161390742785
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,35,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.7690126071908082,-0.029012607190808226
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,0,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7655442607563587,-0.01554426075635873
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,0,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7698190637824152,-0.01981906378241516
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,105,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.7455131609071328,-0.00551316090713283
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,105,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.7480341634060061,-0.008034163406006156
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,70,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7452783931632556,0.004721606836744385
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,70,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.74809942837337,-0.008099428373369966
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,35,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7462813289985828,0.0037186710014172064
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,35,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.7491863734169848,-0.009186373416984805
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,0,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.748521968413113,0.0014780315868869742
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,0,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.7512949985368493,-0.011294998536849343
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,105,0.77,good,GB100,QuadraticVMin,Only: valid = good,0.7593645237328339,0.0106354762671661
TSMC-U8C609-03_x2_y5,vrl-cs-bg-102,2015,105,0.77,good,GB100,QuadraticVMin,Only: valid = good,0.7618842248590756,0.00811577514092443
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,70,0.77,good,GB100,QuadraticVMin,Only: valid = good,0.7591132070515079,0.010886792948492152
TSMC-U8C609-03_x2_y5,vrl-cs-bg-102,2015,70,0.77,good,GB100,QuadraticVMin,Only: valid = good,0.7614830068273066,0.008516993172693388
TSMC-U8C609-03_x4_y4,vrl-cs-bg-137,2033,35,0.77,good,GB100,QuadraticVMin,Only: valid = good,0.7598042643837328,0.010195735616267187
TSMC-U8C609-03_x2_y5,vrl-cs-bg-137,2015,35,0.77,good,GB100,QuadraticVMin,Only: valid = good,0.7620481916720352,0.007951808327964827
TSMC-U8C609-03_x4_y4,vrl-cs-bg-137,2033,0,0.77,good,GB100,QuadraticVMin,Only: valid = good,0.7614376957295066,0.008562304270493426
TSMC-U8C609-03_x2_y5,vrl-cs-bg-137,2015,0,0.77,good,GB100,QuadraticVMin,Only: valid = good,0.7635797793932597,0.006420220606740301
