ECID,dut,Speedo,Temp,Vmin,valid,Chip,Model,Pipe,Guess,Error
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,105,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7414841552275941,0.008515844772405856
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,105,0.73,good,GB100,QuadraticVMin,Only: valid = good,0.7412330998318861,-0.01123309983188614
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,70,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.7433873187950533,-0.0033873187950532735
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,70,0.73,good,GB100,QuadraticVMin,Only: valid = good,0.7425207820531925,-0.012520782053192514
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,35,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7444849556565205,0.005515044343479492
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,35,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.743366545340785,-0.0033665453407849544
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,0,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7447770658119959,0.005222934188004125
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,0,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.7437703896946617,-0.003770389694661702
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,105,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.7615903664719503,-0.02159036647195034
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,105,0.73,good,GB100,QuadraticVMin,Only: valid = good,0.7686565867789575,-0.03865658677895756
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,70,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7627593315961279,-0.012759331596127854
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,70,0.73,good,GB100,QuadraticVMin,Only: valid = good,0.7699687123170746,-0.03996871231707466
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,35,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7637182011365954,-0.013718201136595387
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,35,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.7707712121110438,-0.030771212111043833
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,0,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7644669750933528,-0.014466975093352819
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,0,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.7710640861608655,-0.031064086160865534
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,105,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7413851626502206,0.008614837349779414
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,105,0.73,good,GB100,QuadraticVMin,Only: valid = good,0.7455276881888862,-0.015527688188886168
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,70,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7431038062208999,0.006896193779100113
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,70,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.7466268444262629,-0.0066268444262629345
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,35,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7442654825752519,0.005734517424748065
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,35,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.7475629405787425,-0.007562940578742516
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,0,0.75,good,GB100,QuadraticVMin,Only: valid = good,0.7448701917132757,0.005129808286724269
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,0,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.7483359766463276,-0.00833597664632757
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,105,0.77,good,GB100,QuadraticVMin,Only: valid = good,0.7561870556098864,0.013812944390113602
TSMC-U8C609-03_x2_y5,vrl-cs-bg-102,2015,105,0.77,good,GB100,QuadraticVMin,Only: valid = good,0.7587606035605949,0.01123939643940508
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,70,0.77,good,GB100,QuadraticVMin,Only: valid = good,0.7580759959395389,0.011924004060461124
