ECID,dut,Speedo,Temp,Vmin,valid,Chip,Model,Pipe,Guess,Error
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,105,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8211991315345086,0.01880086846549134
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,105,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.820856396352097,-0.0008563963520969997
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,70,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.8149797716946117,0.015020228305388295
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,70,0.81,good,GB100,QuadraticVMin,Only: valid = good,0.8147235305923215,-0.0047235305923214455
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,35,0.81,good,GB100,QuadraticVMin,Only: valid = good,0.8077340695004878,0.002265930499512292
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,35,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8076816107141853,-0.007681610714185272
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,0,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.7994620249521383,0.000537975047861794
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,0,0.79,good,GB100,QuadraticVMin,Only: valid = good,0.7997306367176895,-0.009730636717689478
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,105,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.8501501795437647,-0.020150179543764746
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,105,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.8587370085643498,-0.038737008564349806
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,70,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.8401061052398322,-0.02010610523983225
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,70,0.81,good,GB100,QuadraticVMin,Only: valid = good,0.8482261714024069,-0.038226171402406806
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,35,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8288799684715871,-0.028879968471587025
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,35,0.79,good,GB100,QuadraticVMin,Only: valid = good,0.8364933258213259,-0.046493325821325815
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,0,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8164717692390271,-0.016471769239027045
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,0,0.79,good,GB100,QuadraticVMin,Only: valid = good,0.823538471821109,-0.03353847182110892
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,105,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.8240321630623728,-0.004032163062372862
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,105,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.8266658354114753,-0.006665835411475363
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,70,0.81,good,GB100,QuadraticVMin,Only: valid = good,0.8174567725282901,-0.007456772528290023
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,70,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8198278559530499,-0.01982785595304981
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,35,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8097164278831852,-0.009716427883185164
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,35,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.811865514544664,-0.011865514544664002
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,0,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.8008111291270589,-0.0008111291270588294
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,0,0.79,good,GB100,QuadraticVMin,Only: valid = good,0.8027788111863186,-0.012778811186318517
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,105,0.85,good,GB100,QuadraticVMin,Only: valid = good,0.844406282198773,0.005593717801226972
TSMC-U8C609-03_x2_y5,vrl-cs-bg-102,2015,105,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8521773799510513,-0.012177379951051281
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,70,0.85,good,GB100,QuadraticVMin,Only: valid = good,0.8336748338301756,0.01632516616982438
