ECID,dut,Speedo,Temp,Vmin,valid,Chip,Model,Pipe,Guess,Error
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,105,0.87,good,GB100,QuadraticVMin,Only: valid = good,0.861697542520252,0.008302457479748004
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,105,0.85,good,GB100,QuadraticVMin,Only: valid = good,0.8606105430013299,-0.010610543001329908
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,70,0.86,good,GB100,QuadraticVMin,Only: valid = good,0.8584957839729506,0.001504216027049421
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,70,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8573530547444854,-0.017353054744485452
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,35,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8509114224613119,-0.010911422461311937
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,35,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.849823275770512,-0.019823275770512017
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,0,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.838944457985336,-0.008944457985336052
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,0,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.8380212060794097,-0.018021206079409713
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,105,0.88,good,GB100,QuadraticVMin,Only: valid = good,0.8931630225316383,-0.013163022531638258
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,105,0.87,good,GB100,QuadraticVMin,Only: valid = good,0.9032610595770558,-0.03326105957705583
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,70,0.87,good,GB100,QuadraticVMin,Only: valid = good,0.8880489510666221,-0.018048951066622076
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,70,0.85,good,GB100,QuadraticVMin,Only: valid = good,0.8980928180606034,-0.04809281806060339
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,35,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8782915597930347,-0.03829155979303478
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,35,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.8879688232538108,-0.05796882325381081
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,0,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8638908487108754,-0.023890848710875434
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,0,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.8728890751566762,-0.04288907515667628
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,105,0.85,good,GB100,QuadraticVMin,Only: valid = good,0.8645945435758063,-0.014594543575806362
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,105,0.85,good,GB100,QuadraticVMin,Only: valid = good,0.8673791492928953,-0.017379149292895302
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,70,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8610498185333539,-0.02104981853335397
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,70,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.8637898540416187,-0.033789854041618717
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,35,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.8529843442657343,-0.02298434426573437
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,35,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.8554469491388231,-0.02544694913882317
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,0,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.8403981207729476,-0.010398120772947661
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,0,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.842350434584509,-0.012350434584509018
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,105,0.9,good,GB100,QuadraticVMin,Only: valid = good,0.8874380799915951,0.012561920008404948
TSMC-U8C609-03_x2_y5,vrl-cs-bg-102,2015,105,0.88,good,GB100,QuadraticVMin,Only: valid = good,0.8989985032755696,-0.018998503275569623
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,70,0.89,good,GB100,QuadraticVMin,Only: valid = good,0.8811535092970799,0.008846490702920096
TSMC-U8C609-03_x2_y5,vrl-cs-bg-102,2015,70,0.87,good,GB100,QuadraticVMin,Only: valid = good,0.8919932330453271,-0.021993233045327076
TSMC-U8C609-03_x4_y4,vrl-cs-bg-137,2033,35,0.89,good,GB100,QuadraticVMin,Only: valid = good,0.8702282370350554,0.01977176296494465
TSMC-U8C609-03_x2_y5,vrl-cs-bg-137,2015,35,0.87,good,GB100,QuadraticVMin,Only: valid = good,0.8806360203778221,-0.010636020377822075
TSMC-U8C609-03_x4_y4,vrl-cs-bg-137,2033,0,0.89,good,GB100,QuadraticVMin,Only: valid = good,0.8546622632055214,0.0353377367944786
TSMC-U8C609-03_x2_y5,vrl-cs-bg-137,2015,0,0.86,good,GB100,QuadraticVMin,Only: valid = good,0.8649268652730515,-0.004926865273051528
TSMC-U8C607-10_x4_y1,vrl-cs-bg-72,2076,70,0.94,good,GB100,QuadraticVMin,Only: valid = good,0.8626004357036043,0.0773995642963956
TSMC-U8C607-08_x1_y5,vrl-cs-bg-72,2117,70,0.84,good,GB100,QuadraticVMin,Only: valid = good,0.8591841664258038,-0.019184166425803784
TSMC-U8C607-10_x4_y1,vrl-cs-bg-128,2076,35,0.94,good,GB100,QuadraticVMin,Only: valid = good,0.8519827172006251,0.08801728279937482
TSMC-U8C607-08_x1_y5,vrl-cs-bg-128,2117,35,0.82,good,GB100,QuadraticVMin,Only: valid = good,0.8515768932080278,-0.03157689320802781
TSMC-U8C607-10_x4_y1,vrl-cs-bg-128,2076,0,0.94,good,GB100,QuadraticVMin,Only: valid = good,0.8386399048485789,0.10136009515142108
TSMC-U8C607-08_x1_y5,vrl-cs-bg-128,2117,0,0.83,good,GB100,QuadraticVMin,Only: valid = good,0.8388239459777611,-0.00882394597776115
TSMC-U8C586-07_x6_y1,vrl-cs-sc-257,2029,105,0.89,good,GB100,QuadraticVMin,Only: valid = good,0.889808379065842,0.00019162093415803216
