ECID,dut,Speedo,Temp,Vmin,valid,Chip,Model,Pipe,Guess,Error
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,105,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6540496783033799,-0.004049678303379878
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,105,0.64,good,GB100,QuadraticVMin,Only: valid = good,0.6536242182454017,-0.01362421824540172
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,70,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6567846575004804,-0.006784657500480407
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,70,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6562684687795215,-0.006268468779521474
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,35,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.663767747749495,-0.003767747749494954
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,35,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.663458605766729,-0.0034586057667289616
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,0,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6749989490504235,-0.004998949050423418
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,0,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6751946292070241,-0.005194629207024071
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,105,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6654841127689183,-0.015484112768918257
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,105,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6683790058508362,-0.018379005850836183
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,70,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6650052120525058,-0.015005212052505823
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,70,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6674983796367683,-0.017498379636768258
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,35,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6690270335232087,-0.00902703352320866
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,35,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6710971925849345,-0.011097192584934468
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,0,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6775495771810265,-0.017549577181026454
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,0,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6791754446953344,-0.019175444695334387
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,105,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6540997486982574,-0.004099748698257355
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,105,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6529171501872477,0.007082849812752312
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,70,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6564905487510402,0.0035094512489598495
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,70,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6549877924738983,0.015012207526101773
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,35,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6636533270781131,-0.0036533270781130556
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6617374849963027,0.018262515003697355
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,0,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6755880836794763,-0.015588083679476283
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,0,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6731662277544621,0.006833772245537939
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,105,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6615632831126557,0.008436716887344375
TSMC-U8C609-03_x2_y5,vrl-cs-bg-102,2015,105,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6610453197842524,0.018954680215747644
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,70,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6614148872098309,0.008585112790169158
TSMC-U8C609-03_x2_y5,vrl-cs-bg-102,2015,70,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6607828824759521,0.019217117524047977
TSMC-U8C609-03_x4_y4,vrl-cs-bg-137,2033,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6657331756277645,0.014266824372235587
TSMC-U8C609-03_x2_y5,vrl-cs-bg-137,2015,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6649933597183777,0.015006640281622352
TSMC-U8C609-03_x4_y4,vrl-cs-bg-137,2033,0,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6745181483664568,0.0054818516335432
TSMC-U8C609-03_x2_y5,vrl-cs-bg-137,2015,0,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6736767515115293,0.006323248488470767
TSMC-U8C607-10_x4_y1,vrl-cs-bg-72,2076,70,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6586470500284303,0.0013529499715697613
TSMC-U8C607-08_x1_y5,vrl-cs-bg-72,2117,70,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6545557482461163,-0.004555748246116265
TSMC-U8C607-10_x4_y1,vrl-cs-bg-128,2076,35,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6644656142241276,0.005534385775872397
TSMC-U8C607-08_x1_y5,vrl-cs-bg-128,2117,35,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.6617299355016537,0.038270064498346246
