ECID,dut,Speedo,Temp,Vmin,valid,Chip,Model,Pipe,Guess,Error
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,105,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.671513032949699,-0.011513032949698965
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,105,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6708769268998287,-0.020876926899828674
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,70,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6779802947586324,-0.007980294758632378
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,70,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6772318335593646,-0.01723183355936453
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6848732176839407,-0.004873217683940667
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,35,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6837981427025808,-0.013798142702580729
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,0,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6921918017256274,-0.012191801725627394
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,0,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6905758543294809,-0.010575854329480827
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,105,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6774599915715966,-0.0074599915715966025
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,105,0.65,good,GB100,QuadraticVMin,Only: valid = good,0.6821677473835599,-0.032167747383559875
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,70,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6851784583656038,-0.01517845836560372
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,70,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6894971372865579,-0.029497137286557895
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,35,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6929999435408765,-0.002999943540876515
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6974465435712145,-0.017446543571214446
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,0,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.7009244470974174,-0.010924447097417467
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,0,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.7060159662375307,-0.03601596623753067
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,105,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6708423901752738,-0.0008423901752737661
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,105,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6719593670250585,-0.0019593670250585005
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,70,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6778095009360872,-0.0078095009360871215
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,70,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6789892794927992,-0.008989279492799152
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.684898689150951,-0.00489868915095093
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6861492670689397,-0.006149267068939701
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,0,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6921099548198653,-0.01210995481986521
