ECID,dut,Speedo,Temp,Vmin,valid,Chip,Model,Pipe,Guess,Error
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,105,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7026922706272754,-0.002692270627275395
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,105,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7011020017941427,-0.0011020017941427707
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,70,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7027644001338138,-0.002764400133813849
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,70,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7018291948581787,-0.0018291948581787842
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,35,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7060103243433511,0.003989675656648872
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,35,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7054636930593319,-0.00546369305933192
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,0,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7124300432558872,-0.0024300432558872487
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,0,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7120054963976035,-0.002005496397603501
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,105,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7218543343626145,-0.021854334362614525
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,105,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7266203146727745,-0.026620314672774592
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,70,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7190756032606971,-0.019075603260697127
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,70,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7234421671923026,-0.023442167192302632
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,35,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7194947009092427,-0.00949470090924276
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,35,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7234372378277731,-0.013437237827773174
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,0,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7231116273082505,-0.01311162730825055
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,0,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7266055265791889,-0.0166055265791889
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,105,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7025104242488402,-0.002510424248840293
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,105,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.704474822650881,-0.004474822650881061
TSMC-U8C607-08_x3_y6,vrl-cs-bg-72,2111,70,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7023676534864682,0.007632346513531729
TSMC-U8C607-09_x7_y7,vrl-cs-bg-72,2104,70,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7044751299956449,-0.004475129995644922
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,35,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7056465162582728,0.004353483741727171
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,35,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7076763919989897,-0.007676391998989729
TSMC-U8C607-08_x3_y6,vrl-cs-bg-128,2111,0,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7123470125642535,-0.0023470125642535145
TSMC-U8C607-09_x7_y7,vrl-cs-bg-128,2104,0,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7140786086609152,-0.01407860866091526
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,105,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.7169633079058704,0.0030366920941296005
TSMC-U8C609-03_x2_y5,vrl-cs-bg-102,2015,105,0.73,good,GB100,QuadraticVMin,Only: valid = good,0.7192865850616865,0.01071341493831346
TSMC-U8C609-03_x4_y4,vrl-cs-bg-102,2033,70,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.7145125009177447,0.0054874990822553205
TSMC-U8C609-03_x2_y5,vrl-cs-bg-102,2015,70,0.73,good,GB100,QuadraticVMin,Only: valid = good,0.7167265768495736,0.013273423150426344
TSMC-U8C609-03_x4_y4,vrl-cs-bg-137,2033,35,0.73,good,GB100,QuadraticVMin,Only: valid = good,0.7152249271780364,0.014775072821963553
TSMC-U8C609-03_x2_y5,vrl-cs-bg-137,2015,35,0.73,good,GB100,QuadraticVMin,Only: valid = good,0.7173333094212,0.012666690578799988
TSMC-U8C609-03_x4_y4,vrl-cs-bg-137,2033,0,0.73,good,GB100,QuadraticVMin,Only: valid = good,0.7191005866867459,0.010899413313254058
TSMC-U8C609-03_x2_y5,vrl-cs-bg-137,2015,0,0.73,good,GB100,QuadraticVMin,Only: valid = good,0.7211067827765654,0.008893217223434613
TSMC-U8C607-10_x4_y1,vrl-cs-bg-72,2076,70,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7071890842654016,0.0028109157345983515
TSMC-U8C607-08_x1_y5,vrl-cs-bg-72,2117,70,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7015197890579259,0.008480210942074073
TSMC-U8C607-10_x4_y1,vrl-cs-bg-128,2076,35,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.7095034600478674,0.010496539952132622
TSMC-U8C607-08_x1_y5,vrl-cs-bg-128,2117,35,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7050096351363033,0.004990364863696639
TSMC-U8C607-10_x4_y1,vrl-cs-bg-128,2076,0,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7152824430311,-0.005282443031100037
TSMC-U8C607-08_x1_y5,vrl-cs-bg-128,2117,0,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.711872798537053,-0.001872798537053022
TSMC-U8C586-07_x6_y1,vrl-cs-sc-257,2029,105,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.7178929070810303,0.0021070929189697107
TSMC-U8C586-07_x3_y2,vrl-cs-sc-257,2034,105,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.7166400779623261,0.003359922037673879
TSMC-U8C586-07_x6_y1,vrl-cs-sc-257,2029,70,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.715777803092194,0.004222196907806008
TSMC-U8C586-07_x3_y2,vrl-cs-sc-257,2034,70,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.7146814336820209,0.005318566317979112
TSMC-U8C586-07_x6_y1,vrl-cs-sc-257,2029,35,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.7168184718516073,0.003181528148392676
TSMC-U8C586-07_x3_y2,vrl-cs-sc-257,2034,35,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.7158744231947813,0.004125576805218634
TSMC-U8C586-07_x6_y1,vrl-cs-sc-257,2029,0,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.7210149133592716,-0.0010149133592716186
TSMC-U8C586-07_x3_y2,vrl-cs-sc-257,2034,0,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.7202190465006093,-0.00021904650060933228
TSMC-U8C586-07_x4_y3,vrl-cs-bg-102,2045,105,0.73,good,GB100,QuadraticVMin,Only: valid = good,0.7132324163849959,0.016767583615004078
TSMC-U8C586-07_x3_y6,vrl-cs-bg-102,2049,105,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.713102620269995,0.006897379730004927
TSMC-U8C586-07_x4_y3,vrl-cs-bg-102,2045,70,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.7122006456419931,0.007799354358006827
TSMC-U8C586-07_x3_y6,vrl-cs-bg-102,2049,70,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.7116126036498462,0.00838739635015373
TSMC-U8C586-07_x4_y3,vrl-cs-bg-137,2045,35,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.7137479140432539,0.00625208595674609
TSMC-U8C586-07_x3_y6,vrl-cs-bg-137,2049,35,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.7132564875025467,0.006743512497453308
TSMC-U8C586-07_x4_y3,vrl-cs-bg-137,2045,0,0.73,good,GB100,QuadraticVMin,Only: valid = good,0.7178742215887794,0.012125778411220534
TSMC-U8C586-07_x3_y6,vrl-cs-bg-137,2049,0,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.7180342718280945,0.0019657281719054343
TSMC-U8C590-06_x4_y5,vrl-cs-sc-106,2167,105,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6968100761371185,-0.0068100761371185925
TSMC-U8C590-06_x3_y4,vrl-cs-sc-106,2154,105,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.6969900716780144,0.0030099283219855444
TSMC-U8C590-06_x4_y5,vrl-cs-sc-106,2167,70,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6989132086312562,-0.00891320863125622
TSMC-U8C590-06_x3_y4,vrl-cs-sc-106,2154,70,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.6987066656133831,0.001293334386616829
TSMC-U8C590-06_x4_y5,vrl-cs-sc-106,2167,35,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.7039465266711094,-0.013946526671109405
TSMC-U8C590-06_x3_y4,vrl-cs-sc-106,2154,35,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7035811081978571,-0.0035811081978571746
TSMC-U8C590-06_x4_y5,vrl-cs-sc-106,2167,0,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7119100302566777,-0.011910030256677695
TSMC-U8C590-06_x3_y4,vrl-cs-sc-106,2154,0,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7116133994314344,-0.011613399431434468
TSMC-U8C589-23_x2_y5,vrl-cs-bg-106,2176,105,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6958415597489731,-0.0058415597489731574
TSMC-U8C589-25_x3_y4,vrl-cs-bg-106,2205,105,0.74,good,GB100,QuadraticVMin,Only: valid = good,0.6863721338756776,0.053627866124322354
TSMC-U8C589-23_x2_y5,vrl-cs-bg-106,2176,70,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6983749188859172,-0.008374918885917237
TSMC-U8C589-25_x3_y4,vrl-cs-bg-106,2205,70,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6877979266244276,0.002202073375572322
TSMC-U8C589-23_x2_y5,vrl-cs-bg-122,2176,35,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.7040944362619905,-0.014094436261990584
TSMC-U8C589-25_x3_y4,vrl-cs-bg-122,2205,35,0.76,good,GB100,QuadraticVMin,Only: valid = good,0.6900353122039602,0.06996468779603982
TSMC-U8C589-23_x2_y5,vrl-cs-bg-122,2176,0,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.713000111877192,-0.023000111877192086
TSMC-U8C589-25_x3_y4,vrl-cs-bg-122,2205,0,0.8,good,GB100,QuadraticVMin,Only: valid = good,0.693084290614276,0.10691570938572403
TSMC-U8C586-08_x8_y4,vrl-cs-sc-54,2212,105,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6979303442069842,-0.01793034420698414
TSMC-U8C586-08_x5_y5,vrl-cs-sc-54,2231,105,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.69820975177148,-0.00820975177148009
TSMC-U8C586-08_x8_y4,vrl-cs-sc-54,2212,70,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.7019218142821266,-0.021921814282126584
TSMC-U8C586-08_x5_y5,vrl-cs-sc-54,2231,70,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.7032198155899403,-0.013219815589940342
TSMC-U8C586-08_x8_y4,vrl-cs-sc-54,2212,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.7087670432274189,-0.028767043227418854
TSMC-U8C586-08_x5_y5,vrl-cs-sc-54,2231,35,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.7110367225927892,-0.021036722592789214
TSMC-U8C586-08_x8_y4,vrl-cs-sc-54,2212,0,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.7184660310428574,-0.028466031042857498
TSMC-U8C586-08_x5_y5,vrl-cs-sc-54,2231,0,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7216604727800231,-0.021660472780023143
