ECID,dut,Speedo,Temp,Vmin,valid,Chip,Model,Pipe,Guess,Error
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,105,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.706655188259131,-0.0066551882591310285
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,105,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.7049792523566567,-0.014979252356656758
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,70,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7128332235800805,-0.012833223580080544
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,70,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7110189817988282,-0.011018981798828209
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,35,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7174002736852891,-0.0074002736852891715
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,35,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7154771401649347,-0.015477140164934733
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,0,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7203563385747578,-0.010356338574757817
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,0,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7183537274549758,-0.008353727454975868
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,105,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7211434544395672,-0.011143454439567213
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,105,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.726388899383292,-0.02638889938329203
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,70,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7272511054590225,-0.01725110545902253
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,70,0.7,good,GB100,QuadraticVMin,Only: valid = good,0.7325241191321751,-0.03252411913217512
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,35,0.72,good,GB100,QuadraticVMin,Only: valid = good,0.7316996214874549,-0.011699621487454959
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,35,0.71,good,GB100,QuadraticVMin,Only: valid = good,0.7369708786233419,-0.02697087862334191
